spatial_id,bicycling.atm.1,bicycling.atm.2,bicycling.atm.3,bicycling.bakery.1,bicycling.bakery.2,bicycling.bakery.3,bicycling.bakery.4,bicycling.bakery.5,bicycling.bank.1,bicycling.bank.2,bicycling.bank.3,bicycling.beauty_salon.1,bicycling.beauty_salon.2,bicycling.beauty_salon.3,bicycling.beauty_salon.4,bicycling.beauty_salon.5,bicycling.book_store.1,bicycling.book_store.2,bicycling.book_store.3,bicycling.bus_station.1,bicycling.bus_station.2,bicycling.bus_station.3,bicycling.cafe.1,bicycling.cafe.2,bicycling.cafe.3,bicycling.cafe.4,bicycling.cafe.5,bicycling.clothing_store.1,bicycling.clothing_store.2,bicycling.clothing_store.3,bicycling.clothing_store.4,bicycling.clothing_store.5,bicycling.convenience_store.1,bicycling.convenience_store.2,bicycling.convenience_store.3,bicycling.convenience_store.4,bicycling.convenience_store.5,bicycling.dentist.1,bicycling.dentist.2,bicycling.dentist.3,bicycling.department_store.1,bicycling.department_store.2,bicycling.department_store.3,bicycling.department_store.4,bicycling.department_store.5,bicycling.doctor.1,bicycling.doctor.2,bicycling.doctor.3,bicycling.electronics_store.1,bicycling.electronics_store.2,bicycling.electronics_store.3,bicycling.florist.1,bicycling.florist.2,bicycling.florist.3,bicycling.furniture_store.1,bicycling.furniture_store.2,bicycling.furniture_store.3,bicycling.gym.1,bicycling.gym.2,bicycling.gym.3,bicycling.hair_care.1,bicycling.hair_care.2,bicycling.hair_care.3,bicycling.hair_care.4,bicycling.hair_care.5,bicycling.hardware_store.1,bicycling.hardware_store.2,bicycling.hardware_store.3,bicycling.home_goods_store.1,bicycling.home_goods_store.2,bicycling.home_goods_store.3,bicycling.home_goods_store.4,bicycling.home_goods_store.5,bicycling.hospital.1,bicycling.hospital.2,bicycling.hospital.3,bicycling.laundry.1,bicycling.laundry.2,bicycling.laundry.3,bicycling.library.1,bicycling.library.2,bicycling.library.3,bicycling.liquor_store.1,bicycling.liquor_store.2,bicycling.liquor_store.3,bicycling.meal_takeaway.1,bicycling.meal_takeaway.2,bicycling.meal_takeaway.3,bicycling.meal_takeaway.4,bicycling.meal_takeaway.5,bicycling.park.1,bicycling.park.2,bicycling.park.3,bicycling.park.4,bicycling.park.5,bicycling.pet_store.1,bicycling.pet_store.2,bicycling.pet_store.3,bicycling.pharmacy.1,bicycling.pharmacy.2,bicycling.pharmacy.3,bicycling.restaurant.1,bicycling.restaurant.2,bicycling.restaurant.3,bicycling.restaurant.4,bicycling.restaurant.5,bicycling.restaurant.6,bicycling.restaurant.7,bicycling.restaurant.8,bicycling.restaurant.9,bicycling.restaurant.10,bicycling.school.1,bicycling.school.2,bicycling.school.3,bicycling.shoe_store.1,bicycling.shoe_store.2,bicycling.shoe_store.3,bicycling.shopping_mall.1,bicycling.shopping_mall.2,bicycling.shopping_mall.3,bicycling.store.1,bicycling.store.2,bicycling.store.3,bicycling.store.4,bicycling.store.5,bicycling.supermarket.1,bicycling.supermarket.2,bicycling.supermarket.3,bicycling.supermarket.4,bicycling.supermarket.5,bicycling.train_station.1
060770001001,3,3,5,3,5,10,20,21,3,4,8,1,2,7,11,20,8,20,20,6,6,11,3,4,14,25,35,8,8,10,12,23,5,7,11,14,20,9,9,9,1,4,20,30,33,0,0,3,7,23,27,7,8,14,3,4,4,6,8,12,9,10,10,16,28,3,8,18,1,3,5,7,7,7,7,40,4,13,27,6,9,17,5,6,9,4,5,5,8,9,5,7,8,14,15,3,8,14,8,8,9,5,8,8,10,11,12,12,13,13,14,4,5,11,4,5,9,3,4,6,8,8,8,9,9,5,12,13,13,16,1
060770001002,1,8,20,4,8,11,11,34,1,5,18,1,5,7,8,18,6,18,21,8,10,14,2,8,11,23,38,3,5,7,26,30,5,11,12,13,22,4,6,6,3,6,30,31,33,3,3,3,8,9,27,6,9,11,1,12,25,4,6,9,4,6,10,12,18,5,5,NA,4,4,6,11,11,8,9,38,3,9,10,2,4,21,7,12,26,8,9,10,13,25,1,13,17,28,30,5,10,15,7,7,8,3,8,9,9,10,11,11,13,15,16,1,2,6,3,3,26,2,3,4,9,10,10,11,17,8,9,9,12,15,4
060770001003,6,7,10,5,5,7,18,19,6,7,8,4,5,6,6,13,12,16,17,3,8,12,5,5,9,9,16,8,10,10,11,21,4,4,9,12,15,4,7,7,4,5,17,33,35,4,4,4,3,7,9,3,6,9,2,6,7,8,9,11,3,3,5,8,9,1,7,13,2,2,4,6,7,3,13,30,1,8,15,5,15,19,6,9,12,4,6,7,7,8,2,7,9,9,11,5,10,17,3,7,13,5,5,6,6,7,7,8,9,9,9,4,5,5,4,7,8,5,6,9,5,5,5,5,12,5,10,11,13,15,3
060770001004,2,9,9,2,5,9,19,26,4,6,17,5,8,9,9,9,10,14,15,4,6,14,2,3,4,5,15,3,5,10,17,22,6,6,7,14,16,5,11,11,5,8,20,34,36,6,6,6,2,4,9,4,4,6,4,8,12,3,6,14,3,3,4,5,7,3,9,16,2,4,5,9,10,4,16,34,2,14,16,8,11,17,3,7,11,2,5,5,5,10,2,7,9,10,11,8,12,20,4,4,16,5,5,5,5,6,6,8,9,12,15,3,3,4,5,9,10,2,4,7,5,5,7,13,14,12,12,13,15,16,1
060770003001,11,12,12,7,8,10,17,34,5,24,32,8,9,13,16,28,0,21,24,16,16,24,7,8,20,23,44,11,12,16,16,28,7,11,12,16,29,6,7,7,9,12,19,19,23,8,8,8,6,12,13,8,9,10,0,4,5,3,8,20,1,9,13,16,29,9,25,NA,10,10,13,16,17,4,13,34,8,25,45,8,11,14,10,16,20,8,11,15,28,35,4,9,20,33,36,14,18,31,7,7,11,9,9,11,12,12,14,14,17,18,22,6,7,7,8,17,32,7,7,12,15,16,16,22,23,10,12,13,13,26,11
060770003002,4,5,10,4,5,12,13,38,9,11,21,4,10,12,13,21,9,13,14,9,10,19,4,9,13,27,35,5,5,13,14,15,4,5,7,8,12,3,12,13,5,9,34,37,41,7,7,7,4,5,16,9,15,19,5,13,17,2,4,9,4,5,6,8,17,5,14,22,10,12,12,14,14,10,11,34,5,15,28,7,7,25,8,16,30,6,9,10,11,15,9,9,17,21,25,9,19,21,6,10,12,5,7,7,8,9,11,14,15,15,17,3,4,6,5,14,30,2,3,13,10,10,12,12,18,12,13,14,15,18,6
060770004011,8,23,29,6,14,16,24,26,16,18,19,4,8,13,14,14,5,24,31,17,18,19,13,25,30,39,47,10,14,23,24,27,4,7,7,15,29,4,5,5,11,14,17,21,22,10,10,10,3,28,41,7,19,24,5,6,27,7,18,23,3,10,12,14,28,14,20,24,12,12,12,12,18,10,32,43,7,36,47,9,12,39,3,12,29,4,7,13,22,31,9,14,17,18,30,7,16,28,3,4,4,12,13,14,14,15,17,17,20,21,24,10,11,27,14,18,31,10,14,19,18,18,19,19,25,12,22,24,24,29,11
060770004012,11,15,18,5,16,23,25,31,3,25,27,3,11,12,13,13,3,23,24,16,18,25,5,7,19,23,24,5,6,12,14,26,13,26,27,31,31,5,5,5,11,12,19,19,22,9,9,9,15,34,36,7,9,19,3,14,36,4,10,25,7,13,14,26,31,15,17,31,12,12,14,17,18,4,33,37,5,5,7,10,13,38,7,15,21,6,6,12,16,37,3,6,14,15,38,15,18,30,5,5,9,11,12,13,14,15,16,16,18,20,20,8,8,10,12,30,30,9,13,18,17,18,18,18,25,4,8,12,23,35,10
060770004013,12,30,31,13,15,25,34,35,17,19,24,15,16,16,16,27,5,27,32,19,20,28,5,16,24,29,30,6,17,23,24,29,5,6,8,9,28,6,6,7,14,16,16,18,21,13,13,13,16,37,46,8,19,24,5,6,25,6,18,28,5,8,8,14,16,16,16,29,14,16,21,22,33,29,33,40,7,7,43,9,12,42,24,26,32,7,12,16,34,39,9,15,15,37,39,19,29,31,6,10,12,14,14,16,17,18,19,20,22,24,24,12,28,30,16,17,33,13,16,32,20,21,21,21,28,4,14,23,24,30,14
060770004014,17,24,32,7,18,22,25,32,13,20,21,11,15,15,23,25,3,25,26,19,19,27,7,20,23,27,47,8,14,14,28,29,4,8,16,30,33,6,7,7,13,15,19,19,23,11,11,11,16,32,38,6,10,22,3,19,33,4,8,8,6,16,29,33,33,15,21,23,13,13,13,13,20,2,34,39,8,37,38,11,14,41,7,20,35,8,8,32,32,39,5,6,14,20,40,17,30,33,7,7,12,12,12,15,16,18,18,20,22,22,25,10,11,12,15,20,32,11,15,20,19,19,19,26,26,9,15,20,25,31,14
060770004021,8,18,22,5,6,14,19,20,4,6,29,4,9,13,14,24,7,10,36,11,17,21,8,18,20,37,38,5,12,31,33,35,7,16,22,31,31,5,5,5,6,9,18,26,29,5,5,7,5,6,10,11,24,29,10,31,32,7,9,14,4,6,8,9,23,15,22,NA,7,7,11,15,18,3,37,37,4,11,16,6,6,17,17,29,31,4,8,8,9,37,1,9,18,27,38,8,11,14,5,5,5,8,12,14,14,14,16,17,17,19,21,5,8,8,6,9,30,8,9,9,12,12,12,14,14,6,12,22,33,37,6
060770004022,7,8,8,6,7,9,13,27,3,5,21,2,6,7,7,8,8,21,21,11,12,16,7,20,26,30,41,5,7,9,28,33,2,9,12,20,29,4,4,4,5,8,20,27,30,4,5,5,7,29,36,7,11,26,7,10,10,5,7,17,3,5,9,10,13,10,23,25,6,6,6,9,14,9,35,38,3,8,16,4,4,18,3,14,18,4,8,10,14,29,2,3,10,11,27,7,11,13,5,5,5,6,7,10,12,13,13,14,14,15,18,4,6,7,5,5,29,4,5,7,12,12,13,13,20,7,8,9,21,31,6
060770004023,4,12,20,3,10,15,21,23,3,3,26,4,5,9,10,10,5,20,22,13,15,22,3,5,5,29,43,3,4,9,10,32,11,19,23,28,28,3,5,5,8,10,14,22,32,7,7,7,3,31,32,7,9,28,5,12,33,5,6,23,3,9,11,12,24,12,15,29,8,9,9,9,16,7,33,34,5,6,18,3,9,13,1,5,16,3,12,13,27,34,4,5,7,12,35,9,10,16,3,3,3,8,9,10,11,14,14,15,16,17,20,6,6,20,8,10,31,6,6,10,14,14,14,15,22,7,10,11,21,31,8
060770004024,21,23,29,8,10,16,17,24,23,25,27,8,11,11,12,12,2,7,31,15,20,24,3,4,13,25,37,1,1,12,25,25,2,2,9,10,28,3,3,3,9,12,13,21,31,8,9,9,1,8,9,10,18,23,7,8,35,3,13,19,2,3,8,10,26,12,23,30,10,10,10,16,17,7,32,36,2,2,22,8,12,37,1,6,29,2,3,12,16,36,1,6,8,10,14,15,15,28,1,1,5,10,12,12,13,15,16,17,18,19,22,7,8,11,12,25,29,8,12,17,16,16,17,17,24,5,10,22,25,29,9
