spatial_id,driving.atm.1,driving.atm.2,driving.atm.3,driving.bakery.1,driving.bakery.2,driving.bakery.3,driving.bakery.4,driving.bakery.5,driving.bank.1,driving.bank.2,driving.bank.3,driving.beauty_salon.1,driving.beauty_salon.2,driving.beauty_salon.3,driving.beauty_salon.4,driving.beauty_salon.5,driving.book_store.1,driving.book_store.2,driving.book_store.3,driving.bus_station.1,driving.bus_station.2,driving.bus_station.3,driving.cafe.1,driving.cafe.2,driving.cafe.3,driving.cafe.4,driving.cafe.5,driving.clothing_store.1,driving.clothing_store.2,driving.clothing_store.3,driving.clothing_store.4,driving.clothing_store.5,driving.convenience_store.1,driving.convenience_store.2,driving.convenience_store.3,driving.convenience_store.4,driving.convenience_store.5,driving.dentist.1,driving.dentist.2,driving.dentist.3,driving.department_store.1,driving.department_store.2,driving.department_store.3,driving.department_store.4,driving.department_store.5,driving.doctor.1,driving.doctor.2,driving.doctor.3,driving.electronics_store.1,driving.electronics_store.2,driving.electronics_store.3,driving.florist.1,driving.florist.2,driving.florist.3,driving.furniture_store.1,driving.furniture_store.2,driving.furniture_store.3,driving.gym.1,driving.gym.2,driving.gym.3,driving.hair_care.1,driving.hair_care.2,driving.hair_care.3,driving.hair_care.4,driving.hair_care.5,driving.hardware_store.1,driving.hardware_store.2,driving.hardware_store.3,driving.home_goods_store.1,driving.home_goods_store.2,driving.home_goods_store.3,driving.home_goods_store.4,driving.home_goods_store.5,driving.hospital.1,driving.hospital.2,driving.hospital.3,driving.laundry.1,driving.laundry.2,driving.laundry.3,driving.library.1,driving.library.2,driving.library.3,driving.liquor_store.1,driving.liquor_store.2,driving.liquor_store.3,driving.meal_takeaway.1,driving.meal_takeaway.2,driving.meal_takeaway.3,driving.meal_takeaway.4,driving.meal_takeaway.5,driving.park.1,driving.park.2,driving.park.3,driving.park.4,driving.park.5,driving.pet_store.1,driving.pet_store.2,driving.pet_store.3,driving.pharmacy.1,driving.pharmacy.2,driving.pharmacy.3,driving.restaurant.1,driving.restaurant.2,driving.restaurant.3,driving.restaurant.4,driving.restaurant.5,driving.restaurant.6,driving.restaurant.7,driving.restaurant.8,driving.restaurant.9,driving.restaurant.10,driving.school.1,driving.school.2,driving.school.3,driving.shoe_store.1,driving.shoe_store.2,driving.shoe_store.3,driving.shopping_mall.1,driving.shopping_mall.2,driving.shopping_mall.3,driving.store.1,driving.store.2,driving.store.3,driving.store.4,driving.store.5,driving.supermarket.1,driving.supermarket.2,driving.supermarket.3,driving.supermarket.4,driving.supermarket.5,driving.train_station.1
060770001001,3,4,4,4,4,7,10,12,3,3,5,2,2,5,6,6,6,7,8,4,4,8,4,5,8,9,11,5,6,6,7,11,4,5,5,7,9,5,5,5,2,3,9,13,13,0,0,4,6,7,9,5,5,7,3,3,3,6,6,6,7,7,7,8,8,3,5,6,2,3,4,5,6,5,5,10,3,7,8,5,6,10,3,5,6,3,4,4,6,6,4,5,7,9,10,2,5,8,5,5,6,3,6,6,6,7,7,7,7,7,8,3,4,7,4,5,7,4,4,6,5,5,6,6,6,4,7,7,8,8,2
060770001002,2,6,7,4,5,5,6,15,1,3,10,2,3,6,6,7,4,8,10,6,7,9,2,5,7,9,13,2,3,4,9,11,4,6,7,8,11,3,3,3,2,4,14,15,15,2,2,2,5,7,12,4,5,6,1,7,10,4,4,5,2,4,6,7,10,4,4,10,3,4,4,6,7,5,6,10,3,6,6,3,3,9,4,5,11,5,6,6,7,9,1,8,9,9,13,3,6,8,4,4,5,4,6,6,6,7,7,7,7,8,9,2,3,4,2,4,11,2,4,4,6,6,6,7,10,5,5,6,7,8,3
060770001003,5,5,6,3,4,5,6,8,5,5,5,3,3,3,4,5,6,7,9,2,6,7,3,3,6,6,9,5,6,6,6,9,3,3,6,7,7,3,3,4,4,4,8,12,12,3,3,3,2,5,6,3,5,6,2,4,5,5,5,6,3,3,3,4,5,1,5,8,2,2,3,4,5,3,7,10,1,5,8,4,6,7,4,6,6,3,4,6,6,7,2,5,5,6,7,3,7,8,2,4,7,3,3,4,4,5,5,5,5,6,6,3,4,4,4,5,6,3,4,5,3,3,3,4,7,4,6,6,6,7,3
060770001004,4,6,6,2,4,6,7,8,4,4,8,5,5,5,5,5,6,8,9,3,5,8,2,2,3,3,10,3,3,6,8,8,3,3,5,8,9,4,7,7,4,5,8,12,12,4,4,4,2,3,5,3,4,4,4,5,5,3,4,6,2,3,4,4,4,3,7,9,2,3,4,6,6,3,8,10,1,6,9,6,6,6,2,6,6,2,3,3,5,7,2,5,6,7,8,5,7,8,3,3,8,4,4,5,5,5,5,5,7,7,8,3,3,3,4,6,6,1,3,4,3,3,4,8,8,6,7,7,7,9,2
060770003001,6,8,9,4,5,7,9,15,3,9,15,5,5,6,8,10,0,7,10,7,7,10,5,5,9,11,13,7,8,9,10,10,4,6,7,8,8,3,4,4,5,6,7,7,11,4,4,4,3,7,8,4,6,7,0,2,3,4,5,8,2,4,8,8,8,7,10,10,5,6,7,8,9,2,7,10,3,11,13,4,7,7,6,8,9,4,7,7,7,8,2,6,8,10,10,9,11,12,4,4,6,5,5,5,5,6,6,7,8,8,9,3,3,4,5,9,14,4,4,9,7,7,8,10,12,7,7,8,8,12,7
060770003002,4,5,7,4,5,7,7,14,6,8,9,3,6,7,8,9,6,7,8,6,6,10,4,6,7,9,14,5,5,7,8,9,4,4,4,6,8,3,9,10,5,7,10,14,16,5,5,5,4,6,7,6,8,9,5,8,10,2,4,6,4,5,6,6,7,3,8,8,5,7,7,7,8,7,8,10,5,6,10,6,6,10,6,7,13,4,5,6,8,8,6,7,7,10,11,6,7,10,5,7,8,4,4,4,5,5,6,7,7,8,8,2,4,6,4,8,12,2,2,10,6,6,6,8,9,6,8,9,9,10,5
060770004011,5,11,15,3,8,9,13,14,8,10,10,3,6,9,11,11,3,10,12,10,10,10,7,10,13,16,16,6,11,13,13,13,3,5,6,10,15,4,4,4,8,8,9,9,13,7,7,7,2,10,15,6,9,14,3,3,13,7,12,13,2,6,8,10,13,9,11,12,8,8,8,9,9,8,11,12,6,11,16,6,7,11,2,8,14,3,5,9,10,13,7,9,9,11,15,4,11,15,2,3,3,8,8,8,8,9,9,9,11,11,12,7,8,9,10,12,13,6,11,13,10,10,10,11,13,8,12,13,15,15,8
060770004012,7,8,10,4,10,10,13,14,3,14,14,2,8,9,10,10,2,9,11,9,9,12,4,6,10,11,11,3,5,8,9,12,9,9,11,12,15,4,4,4,6,7,7,8,11,6,6,6,10,12,16,5,7,11,2,9,14,4,7,13,5,9,9,9,11,10,10,12,7,7,8,8,10,3,10,10,5,5,5,7,8,10,6,8,10,4,5,8,10,11,3,4,9,9,11,10,11,13,4,4,6,6,7,7,7,8,8,9,9,9,10,4,6,7,9,11,15,5,10,10,8,8,9,9,11,3,7,9,10,17,7
060770004013,7,11,17,7,8,13,14,18,9,11,13,7,9,10,11,12,3,8,11,9,9,12,4,7,13,15,16,5,11,11,12,12,3,4,5,6,11,4,4,5,7,8,8,9,9,8,8,8,12,13,14,6,9,13,4,5,13,5,13,14,3,5,6,8,10,10,11,13,7,8,9,9,11,10,11,14,4,5,15,6,6,10,10,10,12,5,5,9,10,10,6,9,9,9,10,12,13,14,3,6,8,6,6,7,7,7,7,9,9,9,9,8,8,13,10,11,11,7,11,11,8,8,9,9,11,2,8,13,14,15,9
060770004014,9,10,15,4,8,12,13,13,6,10,11,6,7,8,9,10,2,8,10,9,9,11,5,10,10,13,13,5,9,10,11,13,3,5,8,10,12,4,5,5,7,7,7,8,10,6,6,6,9,10,15,3,6,13,2,9,9,6,6,7,5,8,9,10,10,9,9,12,6,8,8,8,8,2,10,11,5,9,10,7,7,9,4,12,13,5,6,7,9,9,3,4,9,10,10,11,12,12,4,4,7,6,6,6,7,8,8,8,8,10,10,5,6,8,10,11,12,6,9,11,7,8,9,11,12,7,9,9,12,14,9
