spatial_id,atm,atm,atm,bakery,bakery,bakery,bakery,bakery,bank,bank,bank,beauty_salon,beauty_salon,beauty_salon,beauty_salon,beauty_salon,book_store,book_store,book_store,bus_station,bus_station,bus_station,cafe,cafe,cafe,cafe,cafe,clothing_store,clothing_store,clothing_store,clothing_store,clothing_store,convenience_store,convenience_store,convenience_store,convenience_store,convenience_store,dentist,dentist,dentist,department_store,department_store,department_store,doctor,doctor,doctor,electronics_store,electronics_store,electronics_store,florist,florist,florist,furniture_store,furniture_store,furniture_store,gym,gym,gym,hair_care,hair_care,hair_care,hair_care,hair_care,hardware_store,hardware_store,hardware_store,home_goods_store,home_goods_store,home_goods_store,home_goods_store,home_goods_store,hospital,hospital,hospital,laundry,laundry,laundry,library,library,library,liquor_store,liquor_store,liquor_store,meal_takeaway,meal_takeaway,meal_takeaway,meal_takeaway,meal_takeaway,park,park,park,park,park,pet_store,pet_store,pet_store,pharmacy,pharmacy,pharmacy,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,school,school,school,shoe_store,shoe_store,shoe_store,shopping_mall,shopping_mall,shopping_mall,store,store,store,store,store,supermarket,supermarket,supermarket,supermarket,supermarket,train_station
060770001001,3,3,5,3,5,11,20,21,3,4,8,1,2,7,11,20,8,20,20,6,6,11,3,4,6,12,15,8,8,10,12,23,7,9,13,13,20,9,9,9,1,4,20,0,0,3,7,23,27,7,9,11,3,4,4,6,8,12,9,10,10,16,28,3,10,18,1,3,5,7,7,7,10,10,3,4,7,6,9,17,6,9,12,4,5,5,8,9,3,6,10,12,13,3,8,14,8,8,9,5,8,8,10,11,12,12,13,13,14,4,5,11,4,5,9,3,4,6,8,8,8,9,9,5,12,13,13,16,1
060770001002,1,8,20,4,7,11,23,24,1,5,18,1,5,7,8,18,6,18,21,8,10,14,1,2,7,10,17,3,5,7,26,30,4,5,6,11,22,4,6,6,3,6,23,3,3,3,8,9,27,7,10,13,1,12,25,4,6,9,4,6,10,12,18,5,5,17,4,4,6,11,11,8,8,10,2,3,26,2,4,21,4,4,15,8,9,10,13,25,1,3,5,15,23,5,10,15,7,7,8,3,8,9,9,10,11,11,13,15,16,1,2,6,3,3,9,2,3,4,9,10,10,11,17,8,9,9,12,15,4
060770001003,6,7,10,5,5,7,13,18,6,7,8,4,5,6,6,13,12,16,17,3,8,12,5,5,9,9,14,8,10,10,11,21,4,4,9,10,12,4,7,7,4,5,17,4,4,4,3,7,9,3,6,9,2,6,7,8,9,11,3,3,5,8,9,1,7,14,2,2,4,6,7,3,13,13,1,8,15,5,15,19,6,9,12,4,6,7,7,8,2,9,9,11,16,5,10,17,3,7,13,5,5,6,6,7,7,8,9,9,9,4,5,5,4,7,8,5,6,9,5,5,5,5,12,5,10,11,13,15,3
060770001004,2,9,9,2,5,9,19,21,4,6,17,5,8,9,9,9,10,14,15,4,6,14,2,3,4,5,14,3,5,10,17,22,6,6,7,14,14,5,11,11,5,8,20,5,5,5,2,4,9,4,4,6,4,8,12,3,6,14,3,3,4,5,7,3,9,16,2,4,5,9,10,4,14,16,2,14,16,8,11,17,3,7,11,2,5,5,5,10,2,9,10,19,27,8,12,20,4,4,16,5,5,5,5,6,6,8,9,12,15,3,3,4,5,9,10,2,4,7,5,5,7,13,14,12,12,13,15,16,1
060770003001,11,12,12,7,8,17,19,23,5,8,36,8,9,13,16,28,0,21,24,16,16,24,7,8,8,11,22,11,12,16,16,28,6,10,12,15,20,6,7,7,9,12,29,8,8,8,6,12,13,6,6,10,0,4,5,3,8,20,1,9,13,16,29,9,12,21,10,10,13,16,17,6,10,14,6,8,32,8,11,14,3,20,32,8,12,14,15,16,6,6,8,18,21,9,14,18,7,7,11,9,9,11,12,12,14,14,17,18,22,6,7,7,8,12,17,7,7,12,15,16,16,22,23,6,10,12,13,13,11
060770003002,4,5,10,4,5,13,16,27,9,11,21,4,10,12,13,21,9,13,14,9,10,19,4,7,9,12,23,5,5,13,14,15,4,5,7,18,23,3,12,13,5,9,24,7,7,7,4,5,16,6,10,19,5,13,17,2,4,9,4,5,6,8,17,5,14,33,10,12,12,14,14,3,10,14,15,17,21,7,7,25,5,8,30,6,9,10,11,15,9,10,10,17,17,9,19,21,6,10,12,5,7,7,8,9,11,14,15,15,17,3,4,6,5,13,14,2,3,13,10,10,12,12,18,12,13,14,15,18,6
060770004011,8,13,23,6,10,14,14,25,4,5,39,4,8,13,14,14,5,23,24,17,18,19,5,5,24,25,28,2,10,14,27,36,4,11,18,27,28,4,5,5,11,14,31,10,10,10,3,28,41,5,7,17,6,14,37,5,9,23,10,12,14,28,28,14,20,29,11,12,12,12,18,9,10,10,4,5,6,9,12,39,4,12,22,4,5,6,14,30,3,4,13,20,32,7,16,17,4,4,4,12,13,14,14,15,17,17,20,21,24,9,11,27,11,14,31,10,14,19,18,18,19,19,25,2,7,12,12,24,11
060770004012,11,11,18,10,11,12,16,17,3,5,7,3,11,12,13,13,3,23,24,16,18,25,5,6,8,24,40,5,12,14,26,35,5,16,20,26,31,5,5,5,11,12,30,9,9,9,15,34,36,3,6,9,3,14,36,4,7,25,7,13,14,26,31,8,19,27,12,12,14,17,18,9,12,12,4,5,20,10,13,38,2,6,21,5,14,19,30,37,6,6,7,9,17,9,15,18,5,5,9,11,12,13,14,15,16,16,18,20,20,8,8,10,10,13,30,9,13,18,17,18,18,18,25,4,8,12,13,23,10
060770004013,15,15,22,4,6,7,15,15,6,7,41,7,15,16,16,27,5,25,27,19,20,28,6,7,9,28,41,4,6,17,29,39,6,13,15,21,30,6,6,7,14,16,33,13,13,13,13,16,37,6,8,21,4,5,16,6,7,9,8,8,14,16,30,7,21,22,14,14,16,21,22,10,12,12,5,6,39,9,12,42,14,15,22,6,7,7,15,33,3,5,21,21,33,5,19,19,6,6,10,14,14,16,17,18,19,20,22,24,24,11,13,14,13,16,33,13,16,27,20,21,21,21,28,4,8,14,15,27,14
060770004014,13,20,24,3,12,13,14,16,5,7,8,11,15,15,23,25,3,25,26,19,19,27,6,7,8,11,26,7,14,14,28,37,16,22,28,33,33,6,7,7,13,15,32,11,11,11,16,32,38,5,10,18,19,33,37,4,8,22,6,16,29,33,33,16,16,NA,13,13,13,13,20,11,13,14,8,22,38,11,14,41,9,16,23,7,8,14,18,39,2,5,6,9,23,6,17,20,7,7,12,12,12,15,16,18,18,20,22,22,25,10,11,12,12,15,32,11,15,20,19,19,19,26,26,6,9,15,16,25,14
