spatial_id,atm,atm,atm,bakery,bakery,bakery,bakery,bakery,bank,bank,bank,beauty_salon,beauty_salon,beauty_salon,beauty_salon,beauty_salon,book_store,book_store,book_store,bus_station,bus_station,bus_station,cafe,cafe,cafe,cafe,cafe,clothing_store,clothing_store,clothing_store,clothing_store,clothing_store,convenience_store,convenience_store,convenience_store,convenience_store,convenience_store,dentist,dentist,dentist,department_store,department_store,department_store,doctor,doctor,doctor,electronics_store,electronics_store,electronics_store,florist,florist,florist,furniture_store,furniture_store,furniture_store,gym,gym,gym,hair_care,hair_care,hair_care,hair_care,hair_care,hardware_store,hardware_store,hardware_store,home_goods_store,home_goods_store,home_goods_store,home_goods_store,home_goods_store,hospital,hospital,hospital,laundry,laundry,laundry,library,library,library,liquor_store,liquor_store,liquor_store,meal_takeaway,meal_takeaway,meal_takeaway,meal_takeaway,meal_takeaway,park,park,park,park,park,pet_store,pet_store,pet_store,pharmacy,pharmacy,pharmacy,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,school,school,school,shoe_store,shoe_store,shoe_store,shopping_mall,shopping_mall,shopping_mall,store,store,store,store,store,supermarket,supermarket,supermarket,supermarket,supermarket,train_station
060770001001,3,4,4,4,4,6,7,10,3,4,5,2,2,5,6,6,6,7,8,4,4,8,4,5,5,7,7,5,6,6,7,11,5,6,7,7,8,6,6,6,2,3,9,1,1,4,6,7,9,4,5,7,3,3,3,6,6,6,7,7,7,8,8,3,7,9,2,2,4,5,6,5,6,6,3,4,6,5,6,11,5,6,6,3,4,4,6,6,4,4,4,6,7,2,5,8,5,5,6,3,5,6,6,7,7,7,7,7,8,3,4,7,4,5,7,4,4,6,5,5,6,6,6,4,7,7,8,9,2
060770001002,2,6,7,4,4,6,9,10,1,3,10,2,3,5,6,7,4,8,9,6,7,9,2,2,4,5,8,2,3,4,9,11,3,4,4,7,10,3,3,3,2,4,10,2,2,2,5,7,12,4,6,8,1,7,10,4,4,5,2,4,6,7,10,4,4,10,3,4,4,6,7,5,6,6,2,2,11,3,3,9,4,4,8,5,6,6,7,9,2,2,3,9,12,3,6,8,4,4,5,4,6,6,6,6,7,7,7,8,8,2,3,4,2,4,7,2,4,4,6,6,6,6,9,5,5,6,7,9,3
060770001003,5,5,5,3,4,5,5,8,5,5,5,3,3,3,4,5,6,7,9,2,6,7,4,4,6,6,9,5,6,6,6,8,3,3,6,6,7,3,3,4,4,4,8,3,3,3,2,5,6,3,5,6,2,4,5,5,5,6,3,3,3,4,5,1,5,5,2,2,3,4,5,3,7,8,1,5,8,4,6,7,4,6,6,3,4,6,6,7,2,6,6,6,8,3,7,7,2,4,7,3,3,4,4,5,5,5,5,6,6,3,4,4,4,5,6,3,4,5,3,3,3,4,7,4,6,6,6,7,3
060770001004,4,6,6,2,4,6,7,8,4,4,8,4,5,5,5,5,6,8,8,3,4,8,2,2,3,3,8,3,3,6,8,8,3,3,5,8,8,4,6,6,4,5,8,4,4,4,2,3,5,3,4,4,4,5,5,3,4,6,2,3,4,4,4,3,6,6,2,3,4,6,6,3,8,9,1,6,8,6,6,6,2,5,6,2,3,3,5,7,2,6,7,9,11,5,7,7,3,3,8,4,4,4,5,5,5,5,5,7,8,3,3,4,4,6,6,1,3,4,3,3,4,8,8,6,7,7,7,9,2
060770003001,6,8,9,4,5,7,9,9,3,6,12,5,5,6,8,10,0,7,10,7,7,10,5,5,6,6,8,7,8,9,10,10,3,5,5,8,9,3,4,4,5,6,10,4,4,4,3,7,8,3,4,5,0,2,3,4,5,8,2,4,8,8,8,6,8,10,5,6,7,8,8,4,5,8,3,5,11,4,7,7,2,8,14,4,7,8,9,10,3,4,5,10,10,4,8,11,4,4,6,5,5,5,5,6,6,7,8,8,9,3,3,4,5,9,9,4,4,9,7,7,7,10,12,3,6,7,8,8,7
060770003002,4,5,8,4,5,7,8,9,6,8,9,3,6,7,8,9,6,7,8,6,6,10,4,5,6,8,8,5,5,7,8,9,3,4,4,10,11,3,9,10,5,7,10,5,5,5,4,6,7,6,6,8,5,8,10,2,4,6,4,5,6,6,7,3,8,12,6,7,7,7,8,2,7,10,7,8,9,6,6,10,3,7,13,5,6,6,8,8,6,7,7,7,11,6,7,10,5,7,8,4,4,4,5,6,6,7,7,8,8,2,4,6,4,8,11,2,2,10,6,6,6,8,9,6,8,9,9,10,5
060770004011,5,8,11,3,7,9,9,12,3,5,15,3,7,9,11,11,3,10,14,10,10,10,4,4,11,12,12,1,6,11,11,13,3,7,11,14,14,4,4,4,7,9,13,7,7,7,3,10,15,4,6,11,3,10,15,3,6,14,6,8,10,13,13,10,11,14,8,8,8,9,9,6,7,7,3,4,4,6,7,11,4,8,13,4,4,5,9,12,2,3,8,10,15,4,11,11,3,3,3,8,8,8,9,9,9,9,11,12,12,7,8,9,7,11,13,6,11,13,10,10,10,11,13,1,6,8,8,12,8
060770004012,7,7,8,7,8,8,10,10,3,4,6,2,8,9,10,10,2,9,11,9,9,12,4,5,6,10,15,3,8,9,10,11,4,9,11,11,12,4,4,4,6,7,11,6,6,6,10,12,16,3,5,7,2,9,14,4,5,11,5,9,9,9,11,4,10,11,7,7,8,8,10,6,8,8,3,5,10,7,8,10,3,4,10,4,8,10,10,10,4,4,6,6,10,5,10,11,4,4,6,6,7,7,7,8,8,9,10,10,10,4,6,7,6,10,11,5,10,10,8,8,9,9,11,3,7,9,9,10,7
060770004013,7,8,9,3,3,4,8,8,3,5,13,4,7,9,11,11,3,8,11,9,9,12,4,5,6,10,11,3,5,10,11,12,4,8,9,12,12,4,4,5,8,9,11,8,8,8,8,12,15,4,6,12,3,3,10,4,5,5,4,6,8,10,11,4,9,9,7,8,8,9,9,7,8,8,3,4,10,6,6,10,8,9,9,3,5,5,8,10,3,3,10,11,13,3,11,12,3,3,6,6,6,7,7,7,7,9,9,9,9,6,7,9,8,11,11,7,8,11,8,8,9,9,11,2,6,8,9,10,9
060770004014,6,8,9,2,7,8,8,9,4,4,6,6,7,8,9,10,2,8,10,9,9,11,5,5,6,6,9,4,9,9,10,11,8,8,10,10,11,4,5,5,7,8,11,6,6,6,9,10,15,5,7,11,9,9,13,2,6,11,5,8,9,10,10,10,10,11,6,7,8,8,8,7,8,9,5,9,9,7,7,9,7,9,10,4,6,8,9,9,2,4,4,7,12,4,11,12,4,4,7,6,6,6,7,8,8,8,8,10,10,5,5,8,7,11,11,6,9,11,7,8,9,10,12,3,7,9,9,10,8
060770004021,5,8,9,4,6,6,6,10,4,5,6,3,5,8,9,12,6,6,11,7,10,11,3,5,6,7,14,4,7,11,12,14,3,5,8,11,15,4,4,4,4,5,12,3,3,5,4,4,6,7,7,8,6,12,14,6,7,11,3,5,7,7,12,7,10,13,4,5,6,8,10,4,4,5,4,12,14,4,5,9,4,11,13,5,5,7,7,11,2,7,8,8,14,4,8,8,4,4,4,5,8,8,9,9,10,10,10,10,11,4,5,5,3,4,8,6,7,7,8,8,8,8,8,5,5,7,7,11,4
060770004022,5,5,6,4,5,6,9,9,3,12,13,2,4,4,5,7,4,9,12,7,8,11,4,4,7,10,14,4,5,5,10,13,1,2,8,9,9,3,3,3,4,5,12,3,3,4,5,12,13,4,8,9,4,7,8,4,5,10,2,5,6,8,8,6,7,12,5,5,5,6,8,5,5,5,6,12,13,2,2,8,2,5,10,6,7,7,8,10,1,2,7,7,8,4,7,8,3,3,3,5,5,6,7,8,8,8,8,8,10,3,4,5,4,5,7,4,4,5,7,8,8,8,11,5,6,6,6,11,4
060770004023,2,8,9,3,6,6,9,9,2,2,4,2,4,6,8,9,3,8,10,7,8,11,2,3,6,9,14,2,3,5,7,9,2,7,9,9,10,3,3,3,5,6,11,4,4,5,2,11,13,3,4,10,3,8,13,4,4,11,2,5,7,9,10,7,8,10,5,5,6,6,9,3,6,6,2,11,13,2,7,7,2,4,8,2,3,6,6,9,3,4,5,9,13,5,5,10,2,2,2,5,5,6,6,6,6,7,8,9,9,3,4,6,5,9,11,3,3,8,7,7,7,8,10,3,5,7,7,9,5
060770004024,3,6,9,1,4,8,8,10,1,4,11,5,6,7,8,9,2,4,12,8,11,12,1,4,10,14,15,1,1,2,8,10,6,9,10,12,12,2,2,2,6,7,11,5,5,6,1,5,6,5,9,9,4,4,13,2,7,12,2,2,5,6,11,10,12,13,6,6,6,8,10,4,6,6,3,4,10,6,6,10,9,11,14,1,2,8,10,10,4,4,4,4,14,5,9,9,1,1,1,6,6,6,7,7,8,9,9,10,10,5,6,7,5,9,11,4,9,11,8,8,8,8,11,2,4,6,6,10,6
060770005001,1,8,9,6,7,8,10,11,6,8,10,1,2,3,6,7,6,8,12,6,7,9,6,6,8,8,11,5,5,6,11,12,2,5,7,10,11,4,4,4,3,4,10,3,3,3,5,8,8,7,8,11,3,5,7,7,7,8,4,5,6,6,10,7,10,10,4,4,4,5,6,4,5,7,2,8,12,6,6,9,1,6,10,3,4,6,6,11,5,8,9,10,12,2,6,6,5,5,5,5,6,8,8,9,10,10,10,10,10,3,6,7,4,4,5,4,6,7,6,6,8,8,8,2,6,7,7,10,5
060770005002,3,3,6,4,5,6,7,10,3,4,5,2,3,4,5,6,6,8,11,5,6,9,4,4,4,8,10,6,6,7,8,8,4,6,6,7,9,5,5,5,2,3,9,1,1,1,6,11,11,4,5,7,3,5,7,3,4,9,4,4,5,5,9,1,8,9,3,4,4,6,6,5,6,10,3,4,6,6,7,10,3,4,5,3,5,8,9,9,4,5,9,9,9,3,6,8,5,6,6,6,6,7,8,8,8,9,9,9,9,3,4,8,2,4,9,4,4,6,6,6,7,7,7,4,7,8,8,8,2
060770006001,3,5,5,3,4,5,7,10,3,6,7,3,4,5,6,7,5,6,8,3,7,7,3,4,6,6,7,4,6,6,6,7,5,5,7,7,7,5,5,7,3,4,7,2,2,4,6,6,8,4,6,8,2,2,2,3,4,4,3,5,5,5,8,6,8,8,2,4,4,5,5,2,4,7,1,2,4,4,5,6,4,5,6,4,5,5,6,7,3,4,4,8,8,4,7,8,1,5,6,3,5,5,5,5,6,6,6,6,6,2,4,4,3,6,6,2,3,8,4,4,4,4,4,4,6,6,7,8,3
