APN,type
16907701,bank
16902008,bank
16904009,bank
16902009,bank
16902002,bank
16904010,bank
16904008,bank
16904007,bank
16904011,bank
16905002,bank
16904012,bank
16904006,bank
16904022,store
16904021,store
16904003,store
16904015,store
16904002,store
16904016,store
16904017,store
16903009,store
16903010,store
16903011,bank
16903006,bank
16903005,bank
16902018,bank
16902016,bank
16902020,bank
16903013,bank
16902011,bank
16905003,bank
16910029,bank
16909052,bank
16909051,restaurant
16909050,restaurant
16909049,restaurant
16909061,restaurant
16908055,restaurant
16908054,restaurant
16908053,restaurant
16908052,restaurant
16908051,restaurant
16908050,restaurant
16908049,restaurant
16907703,restaurant
16916201,restaurant
16907702,restaurant
17717006,restaurant
16913524,restaurant
16913325,restaurant
16910042,restaurant
16913326,restaurant
16913327,restaurant
16910030,restaurant
16913328,restaurant
16913329,pharmacy
16915210,pharmacy
16915201,pharmacy
16915101,pharmacy
16916301,pharmacy
