spatial_id,transit.atm.1,transit.atm.2,transit.atm.3,transit.bakery.1,transit.bakery.2,transit.bakery.3,transit.bakery.4,transit.bakery.5,transit.bank.1,transit.bank.2,transit.bank.3,transit.beauty_salon.1,transit.beauty_salon.2,transit.beauty_salon.3,transit.beauty_salon.4,transit.beauty_salon.5,transit.book_store.1,transit.book_store.2,transit.book_store.3,transit.bus_station.1,transit.bus_station.2,transit.bus_station.3,transit.cafe.1,transit.cafe.2,transit.cafe.3,transit.cafe.4,transit.cafe.5,transit.clothing_store.1,transit.clothing_store.2,transit.clothing_store.3,transit.clothing_store.4,transit.clothing_store.5,transit.convenience_store.1,transit.convenience_store.2,transit.convenience_store.3,transit.convenience_store.4,transit.convenience_store.5,transit.dentist.1,transit.dentist.2,transit.dentist.3,transit.department_store.1,transit.department_store.2,transit.department_store.3,transit.department_store.4,transit.department_store.5,transit.doctor.1,transit.doctor.2,transit.doctor.3,transit.electronics_store.1,transit.electronics_store.2,transit.electronics_store.3,transit.florist.1,transit.florist.2,transit.florist.3,transit.furniture_store.1,transit.furniture_store.2,transit.furniture_store.3,transit.gym.1,transit.gym.2,transit.gym.3,transit.hair_care.1,transit.hair_care.2,transit.hair_care.3,transit.hair_care.4,transit.hair_care.5,transit.hardware_store.1,transit.hardware_store.2,transit.hardware_store.3,transit.home_goods_store.1,transit.home_goods_store.2,transit.home_goods_store.3,transit.home_goods_store.4,transit.home_goods_store.5,transit.hospital.1,transit.hospital.2,transit.hospital.3,transit.laundry.1,transit.laundry.2,transit.laundry.3,transit.library.1,transit.library.2,transit.library.3,transit.liquor_store.1,transit.liquor_store.2,transit.liquor_store.3,transit.meal_takeaway.1,transit.meal_takeaway.2,transit.meal_takeaway.3,transit.meal_takeaway.4,transit.meal_takeaway.5,transit.park.1,transit.park.2,transit.park.3,transit.park.4,transit.park.5,transit.pet_store.1,transit.pet_store.2,transit.pet_store.3,transit.pharmacy.1,transit.pharmacy.2,transit.pharmacy.3,transit.restaurant.1,transit.restaurant.2,transit.restaurant.3,transit.restaurant.4,transit.restaurant.5,transit.restaurant.6,transit.restaurant.7,transit.restaurant.8,transit.restaurant.9,transit.restaurant.10,transit.school.1,transit.school.2,transit.school.3,transit.shoe_store.1,transit.shoe_store.2,transit.shoe_store.3,transit.shopping_mall.1,transit.shopping_mall.2,transit.shopping_mall.3,transit.store.1,transit.store.2,transit.store.3,transit.store.4,transit.store.5,transit.supermarket.1,transit.supermarket.2,transit.supermarket.3,transit.supermarket.4,transit.supermarket.5,transit.train_station.1
060770001001,10,12,12,10,11,16,27,29,11,13,14,4,5,12,16,22,23,39,40,6,6,11,10,12,21,29,45,14,14,16,17,21,10,14,17,26,NA,19,19,19,3,11,33,52,NA,1,1,9,11,18,NA,20,20,30,12,12,NA,14,17,23,15,15,15,21,31,7,17,35,5,9,14,16,23,22,22,31,11,17,20,14,16,20,14,15,17,7,8,9,12,14,12,15,15,26,NA,4,18,NA,14,18,18,11,13,14,14,15,15,15,15,16,28,9,13,22,11,22,NA,11,12,NA,18,18,22,22,23,16,19,22,NA,NA,4
060770001002,3,13,19,9,12,23,28,29,2,13,36,6,13,15,15,18,19,37,41,9,12,28,6,13,22,31,46,8,9,11,24,32,11,19,24,NA,NA,11,18,18,9,12,33,38,38,8,8,8,16,16,25,13,17,18,4,15,38,11,15,16,11,16,18,21,31,12,14,25,13,13,15,29,29,28,29,29,10,15,18,6,7,26,16,23,30,13,13,15,25,30,4,15,25,30,38,10,21,NA,11,11,17,9,10,11,11,12,14,14,15,20,42,4,6,13,7,9,25,5,6,12,29,29,29,30,32,15,16,18,19,22,12
060770001003,16,23,29,15,17,26,33,36,15,19,22,16,18,18,18,26,28,32,41,10,27,31,14,14,20,24,31,17,22,26,NA,NA,14,14,18,24,28,19,NA,NA,11,15,43,48,NA,12,12,12,10,17,20,11,19,21,8,NA,NA,38,NA,NA,11,11,16,21,NA,3,26,34,6,10,14,23,26,12,23,29,4,28,29,14,22,31,15,17,19,15,18,19,19,28,10,18,19,21,23,12,32,NA,6,19,74,8,8,12,13,14,16,16,16,17,37,15,16,17,11,26,NA,14,19,20,15,15,17,19,28,17,29,33,43,NA,11
060770001004,6,18,32,7,11,30,30,33,11,18,42,16,27,27,31,31,11,25,26,5,7,16,3,4,8,14,71582785,5,15,18,24,71582785,10,11,11,29,43,10,26,26,11,17,29,39,44,12,12,12,7,9,23,11,11,19,11,26,37,8,21,40,7,9,11,12,19,10,33,34,10,15,17,25,36,15,25,30,6,24,30,18,20,27,7,10,24,5,15,17,19,21,8,17,18,30,71582784,15,17,27,10,11,68,7,7,7,8,9,10,20,22,40,57,9,9,10,13,23,33,6,10,22,17,18,25,30,35,22,23,24,29,31,5
060770003001,30,30,30,16,21,29,30,53,16,38,40,7,10,26,33,34,1,43,NA,36,36,52,11,19,30,40,58,16,19,28,NA,NA,11,17,17,30,30,12,16,16,18,29,32,47,NA,18,18,18,17,33,34,18,23,24,0,13,17,12,18,48,3,31,33,NA,NA,25,42,NA,21,22,25,NA,NA,10,44,NA,51,83,NA,16,21,28,26,37,52,16,17,23,23,66,8,24,35,35,NA,32,32,37,18,18,23,7,7,11,18,18,19,22,23,45,49,17,20,21,21,42,57,23,24,37,31,32,39,44,47,24,33,40,40,41,30
060770003002,11,15,24,12,12,20,34,36,20,25,29,9,25,26,29,30,25,25,35,15,18,42,14,16,34,41,NA,12,13,25,28,28,8,12,22,22,23,5,21,23,24,26,41,47,NA,28,28,28,12,14,41,25,26,27,17,28,32,6,11,32,13,14,16,16,28,15,33,35,21,23,25,26,29,20,22,36,15,26,50,15,15,33,28,31,32,10,16,19,31,32,19,28,32,37,43,20,28,42,17,24,28,12,18,19,19,20,20,20,26,27,53,8,9,13,10,34,34,5,5,33,31,33,39,39,41,25,28,29,32,35,18
060770004011,12,34,35,17,31,32,32,58,30,32,36,13,18,35,36,38,14,42,65,29,33,37,29,31,53,71,NA,32,35,36,37,38,11,24,24,35,50,12,16,16,19,34,36,NA,NA,19,19,19,10,57,108,20,31,NA,17,19,65,16,46,48,9,32,42,43,54,32,43,48,26,28,29,29,44,42,NA,NA,21,81,NA,19,25,NA,9,34,NA,10,22,43,NA,NA,19,32,48,NA,NA,33,41,NA,8,11,11,27,33,33,44,47,49,52,54,57,86,32,44,58,26,40,47,26,37,40,38,38,45,46,51,31,37,45,45,46,23
060770004012,26,42,47,16,31,39,42,53,11,34,37,5,33,34,35,37,9,47,NA,35,42,58,17,21,22,38,42,15,19,20,22,34,23,34,36,37,39,15,17,17,17,34,34,NA,NA,18,18,18,44,64,65,25,26,43,7,47,NA,11,21,62,19,39,42,53,NA,35,46,NA,25,28,28,38,NA,51,NA,NA,17,18,23,24,NA,NA,19,NA,NA,21,NA,NA,NA,NA,11,21,33,39,NA,36,38,41,17,17,26,12,14,18,21,22,23,25,27,49,49,17,20,32,36,37,44,26,40,43,34,36,40,41,47,11,26,33,42,75,22
060770004013,16,39,52,32,35,41,42,52,17,25,34,31,32,38,38,41,14,51,54,28,33,52,15,17,38,38,41,21,30,32,36,41,17,20,27,28,48,19,19,24,21,33,35,NA,NA,22,22,22,45,58,99,27,37,NA,18,20,70,20,37,56,15,16,23,43,46,66,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,19,25,NA,NA,NA,NA,47,NA,NA,23,36,37,40,72,43,44,46,NA,NA,48,NA,NA,18,32,38,24,26,30,49,50,50,55,60,60,61,20,39,72,35,37,54,28,40,49,55,61,61,62,68,12,37,37,43,52,35
060770004014,38,42,45,16,31,38,45,53,23,28,32,20,26,33,35,42,9,49,71,28,28,47,15,20,38,66,75,20,22,23,36,39,12,26,34,36,40,18,21,22,20,32,41,NA,NA,20,20,20,44,72,NA,18,33,NA,6,42,NA,9,24,24,13,41,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,33,41,NA,30,33,NA,NA,NA,19,19,33,36,41,43,NA,NA,24,24,28,28,34,35,38,46,48,50,54,58,58,18,21,27,35,36,51,27,38,41,53,53,60,61,66,31,36,47,49,64,40
060770004021,23,26,46,8,16,22,25,34,11,12,36,7,22,22,25,39,21,26,49,35,36,48,18,31,38,46,60,14,24,36,45,46,20,23,32,36,37,16,16,16,17,44,44,NA,NA,17,17,21,18,19,22,13,39,42,22,41,42,19,22,32,13,19,42,NA,NA,NA,NA,NA,31,37,NA,NA,NA,45,NA,NA,12,28,NA,12,NA,NA,40,NA,NA,14,23,27,28,61,2,29,45,51,NA,18,28,NA,14,14,14,24,25,25,26,28,29,34,37,53,75,17,22,NA,18,25,NA,22,22,NA,28,28,28,43,NA,22,34,34,49,63,21
060770004022,16,16,19,16,20,22,23,37,6,14,42,5,17,18,19,22,18,40,NA,16,18,34,14,32,34,35,52,13,18,21,28,38,6,21,21,32,34,14,14,14,13,19,28,47,NA,13,14,15,23,46,84,19,35,NA,12,NA,NA,14,24,NA,10,17,NA,NA,NA,26,NA,NA,11,16,16,23,34,22,32,49,9,24,31,7,7,NA,7,23,28,12,19,27,27,32,6,7,43,NA,NA,17,27,NA,11,11,11,13,18,18,20,20,20,21,21,21,48,11,14,18,14,15,31,13,14,22,35,35,35,37,43,21,24,27,31,31,18
060770004023,8,24,30,11,18,23,35,50,7,10,27,10,14,22,22,25,14,45,NA,24,38,47,10,15,17,37,61,8,11,24,26,56,22,27,29,32,32,10,14,14,10,17,27,54,NA,9,11,11,5,51,52,19,52,NA,13,40,NA,10,16,NA,9,41,NA,NA,NA,26,29,60,13,15,17,17,25,23,40,45,18,19,32,11,17,24,4,11,40,11,20,26,29,NA,12,15,17,48,NA,24,29,NA,10,10,10,10,13,14,20,20,20,21,24,47,51,10,16,NA,13,27,37,19,19,28,27,27,27,40,42,20,31,33,35,68,17
060770004024,26,28,29,17,22,23,40,41,27,30,44,19,26,28,31,39,8,18,37,35,39,53,12,13,23,24,NA,4,6,25,26,26,4,5,28,28,34,8,8,8,14,21,24,52,NA,20,20,21,4,27,28,20,26,31,15,15,46,11,40,NA,5,9,25,32,48,28,38,40,19,22,24,37,38,24,37,51,7,8,49,14,21,60,4,45,NA,5,12,38,39,67,4,14,18,33,NA,28,30,36,4,4,9,22,37,39,40,41,42,43,44,56,78,16,22,38,25,35,42,26,39,41,33,33,39,39,46,16,23,33,39,59,22
060770005001,7,32,36,6,28,31,40,41,20,23,39,6,9,12,21,35,24,29,52,26,32,36,24,29,33,NA,NA,25,25,27,45,55,5,24,27,41,48,24,24,24,14,15,37,NA,NA,18,18,18,25,29,40,27,34,51,9,22,37,30,33,46,21,27,32,34,NA,10,48,NA,13,14,15,20,20,18,45,63,26,37,NA,24,26,NA,25,28,32,11,12,23,24,55,15,20,25,39,49,12,19,27,25,25,25,16,17,37,37,37,41,41,55,55,55,10,16,20,12,17,28,11,19,27,34,35,NA,NA,NA,6,32,43,44,55,19
060770005002,5,7,21,6,9,18,32,33,6,19,19,6,7,10,19,21,24,28,40,11,14,23,5,7,36,42,50,8,23,26,30,NA,6,23,23,27,30,22,22,22,4,6,NA,NA,NA,4,4,5,18,70,NA,24,32,35,10,15,16,6,11,NA,25,30,NA,NA,NA,5,30,NA,8,8,10,13,22,16,40,NA,10,14,21,15,21,25,15,23,34,6,10,29,30,37,12,15,17,18,NA,1,13,NA,20,26,26,14,16,18,20,21,22,25,27,30,31,6,13,33,8,15,16,11,18,19,16,17,20,20,20,9,23,26,40,NA,8
060770006001,12,21,24,16,18,27,28,28,14,19,31,6,16,18,22,23,26,27,46,11,13,21,15,15,16,23,27,13,15,28,30,46,22,29,36,39,NA,26,26,NA,8,13,NA,NA,NA,11,11,NA,14,14,17,14,31,NA,6,13,14,9,15,27,9,9,16,27,NA,20,22,30,3,6,7,8,14,14,23,29,9,15,27,12,17,24,8,19,20,15,24,26,28,33,8,12,24,26,28,8,20,NA,9,29,34,16,17,18,19,21,24,27,27,29,30,16,17,20,9,12,NA,15,16,NA,16,17,21,21,21,6,9,30,37,56,10
060770006002,12,20,25,18,19,22,24,29,8,12,19,15,15,15,18,20,34,43,NA,10,10,11,21,21,NA,NA,NA,17,20,NA,NA,NA,14,15,16,16,21,18,18,19,15,18,38,43,NA,16,16,22,17,18,22,18,18,21,6,17,32,12,16,19,15,17,18,21,26,8,24,29,6,6,17,18,21,16,19,27,11,22,27,17,25,29,6,9,22,18,20,23,24,33,16,17,21,21,23,12,31,NA,10,18,26,16,16,17,17,18,18,19,20,21,27,29,34,47,17,21,24,NA,NA,NA,6,17,17,18,28,22,25,34,38,NA,20
060770007001,17,23,24,6,11,11,29,42,14,15,30,6,6,6,6,24,3,7,36,2,2,32,9,11,12,20,NA,8,11,15,18,21,5,5,5,7,11,7,7,11,16,20,49,54,NA,17,18,27,7,18,29,5,6,21,5,5,5,14,17,19,5,8,10,19,25,12,19,28,5,8,17,23,27,4,19,29,10,16,19,12,27,28,11,16,22,6,9,11,19,29,11,18,22,25,27,21,30,32,6,16,45,5,5,5,5,11,13,14,17,25,26,32,39,48,17,32,50,20,24,25,5,5,7,21,39,22,27,30,34,44,11
060770007002,17,27,28,4,6,10,16,41,8,36,71582778,6,6,8,9,16,1,30,71582785,8,8,13,4,6,6,27,71582784,8,14,15,17,18,11,12,14,15,31,5,10,10,10,16,27,49,54,9,10,16,6,13,13,4,7,8,7,17,19,9,14,28,6,7,16,16,20,15,17,28,11,15,16,17,31,7,8,10,6,12,22,6,34,NA,9,26,30,5,5,7,10,14,4,10,15,17,29,5,16,71582783,11,12,25,7,7,7,8,13,27,28,34,38,50,6,11,20,21,21,38,13,18,27,9,11,12,26,45,10,17,34,42,51,4
060770007003,16,31,34,10,14,18,28,42,6,15,33,3,5,11,14,14,4,9,25,20,20,49,11,17,26,29,50,15,16,19,22,31,14,17,33,33,36,7,13,18,32,37,41,57,68,7,31,35,8,10,18,14,20,34,6,32,NA,10,12,31,11,16,17,23,34,19,32,42,9,10,15,17,31,18,31,NA,14,34,49,24,33,58,14,21,NA,10,12,12,13,13,4,21,22,23,26,23,37,49,21,34,76,11,12,12,12,12,16,16,28,37,50,21,31,32,29,35,43,17,18,37,18,20,20,28,28,16,18,20,44,51,11
060770007004,23,23,37,17,17,20,32,43,14,22,38,11,17,18,30,36,21,28,29,17,17,49,15,28,30,46,73,21,22,29,43,43,19,19,28,28,42,14,33,33,33,38,45,55,72,11,35,36,10,24,42,20,25,30,12,37,39,14,18,22,13,20,21,33,33,24,26,27,14,21,32,35,NA,35,37,NA,20,21,37,18,18,35,15,40,40,9,17,44,45,NA,28,NA,NA,NA,NA,NA,NA,NA,45,84,NA,14,15,18,18,20,20,21,30,44,55,33,39,42,25,48,50,16,40,43,24,26,26,39,52,36,38,44,47,48,17
060770008011,43,44,72,41,46,71,84,86,87,98,103,33,35,51,78,79,32,63,69,29,29,73,36,74,75,92,94,54,69,72,75,78,42,43,49,100,114,41,41,75,49,63,77,NA,NA,52,52,52,52,53,81,68,73,86,43,53,73,51,52,65,33,33,73,74,74,72,72,79,52,57,58,67,74,66,67,119,53,60,79,46,58,63,59,83,87,51,57,63,63,NA,59,60,67,93,NA,77,79,95,64,69,74,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,44,45,NA,NA,NA,33,33,34,NA,NA,NA,NA,NA,61,67,67,73,82,35
060770008012,17,17,24,22,25,26,37,78,23,26,50,24,26,38,41,41,19,38,44,52,52,55,17,26,29,56,67,34,36,64,65,66,14,36,45,52,63,19,24,36,36,48,56,72,84,22,22,49,15,17,37,26,31,32,17,29,44,20,23,NA,25,27,28,32,37,30,35,NA,21,26,27,40,NA,40,65,NA,26,26,62,28,39,45,NA,NA,NA,16,27,NA,NA,NA,38,39,40,50,59,44,52,76,25,38,45,21,23,24,24,24,36,45,55,60,66,34,45,77,27,53,55,34,34,46,44,44,48,51,53,31,38,42,44,NA,31
060770008013,35,45,50,43,50,88,121,138,46,50,74,64,64,68,71,75,16,60,66,46,66,66,30,44,64,101,104,57,65,66,67,76,24,29,55,64,69,37,42,59,47,59,72,NA,NA,37,88,88,34,69,70,41,45,48,48,48,52,38,61,106,39,46,50,59,75,41,69,90,37,48,52,59,74,61,64,116,54,70,78,49,55,60,30,54,98,41,59,60,62,110,37,38,46,61,70,74,87,92,61,71,NA,34,54,58,59,59,60,63,68,70,73,35,55,61,55,73,NA,46,47,NA,49,62,67,84,NA,42,58,70,77,79,48
